+--------+-----------+---------------------------------------------+-----------------------------------+---------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                                         | Name                              | Action                                                                    | Middleware   |
+--------+-----------+---------------------------------------------+-----------------------------------+---------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | /                                           |                                   | Closure                                                                   | web          |
|        | POST      | api/categorie                               | categorie.store                   | App\Http\Controllers\Category\CategoryController@store                    | api          |
|        | GET|HEAD  | api/categorie                               | categorie.index                   | App\Http\Controllers\Category\CategoryController@index                    | api          |
|        | GET|HEAD  | api/categorie/{categorie}                   | categorie.show                    | App\Http\Controllers\Category\CategoryController@show                     | api          |
|        | DELETE    | api/categorie/{categorie}                   | categorie.destroy                 | App\Http\Controllers\Category\CategoryController@destroy                  | api          |
|        | PUT|PATCH | api/categorie/{categorie}                   | categorie.update                  | App\Http\Controllers\Category\CategoryController@update                   | api          |
|        | POST      | api/contact_prestatire                      | contact_prestatire.store          | App\Http\Controllers\Prestataire\ContactprestataireController@store       | api          |
|        | GET|HEAD  | api/contact_prestatire                      | contact_prestatire.index          | App\Http\Controllers\Prestataire\ContactprestataireController@index       | api          |
|        | DELETE    | api/contact_prestatire/{contact_prestatire} | contact_prestatire.destroy        | App\Http\Controllers\Prestataire\ContactprestataireController@destroy     | api          |
|        | PUT|PATCH | api/contact_prestatire/{contact_prestatire} | contact_prestatire.update         | App\Http\Controllers\Prestataire\ContactprestataireController@update      | api          |
|        | GET|HEAD  | api/contact_prestatire/{contact_prestatire} | contact_prestatire.show           | App\Http\Controllers\Prestataire\ContactprestataireController@show        | api          |
|        | POST      | api/get-token                               |                                   | App\Http\Controllers\TokenController@getToken                             | api          |
|        | POST      | api/marriage                                | marriage.store                    | App\Http\Controllers\marriageController@store                             | api          |
|        | GET|HEAD  | api/marriage                                | marriage.index                    | App\Http\Controllers\marriageController@index                             | api          |
|        | DELETE    | api/marriage/{marriage}                     | marriage.destroy                  | App\Http\Controllers\marriageController@destroy                           | api          |
|        | GET|HEAD  | api/marriage/{marriage}                     | marriage.show                     | App\Http\Controllers\marriageController@show                              | api          |
|        | PUT|PATCH | api/marriage/{marriage}                     | marriage.update                   | App\Http\Controllers\marriageController@update                            | api          |
|        | GET|HEAD  | api/pays                                    | pays.index                        | App\Http\Controllers\PaysController@index                                 | api          |
|        | POST      | api/pays                                    | pays.store                        | App\Http\Controllers\PaysController@store                                 | api          |
|        | GET|HEAD  | api/pays/{pay}                              | pays.show                         | App\Http\Controllers\PaysController@show                                  | api          |
|        | PUT|PATCH | api/pays/{pay}                              | pays.update                       | App\Http\Controllers\PaysController@update                                | api          |
|        | DELETE    | api/pays/{pay}                              | pays.destroy                      | App\Http\Controllers\PaysController@destroy                               | api          |
|        | GET|HEAD  | api/prestataire                             | prestataire.index                 | App\Http\Controllers\Prestataire\PrestataireController@index              | api          |
|        | POST      | api/prestataire                             | prestataire.store                 | App\Http\Controllers\Prestataire\PrestataireController@store              | api          |
|        | GET|HEAD  | api/prestataire/{prestataire}               | prestataire.show                  | App\Http\Controllers\Prestataire\PrestataireController@show               | api          |
|        | PUT|PATCH | api/prestataire/{prestataire}               | prestataire.update                | App\Http\Controllers\Prestataire\PrestataireController@update             | api          |
|        | DELETE    | api/prestataire/{prestataire}               | prestataire.destroy               | App\Http\Controllers\Prestataire\PrestataireController@destroy            | api          |
|        | GET|HEAD  | api/sous_categorie                          | sous_categorie.index              | App\Http\Controllers\Category\Sous_CategoryController@index               | api          |
|        | POST      | api/sous_categorie                          | sous_categorie.store              | App\Http\Controllers\Category\Sous_CategoryController@store               | api          |
|        | GET|HEAD  | api/sous_categorie/{sous_categorie}         | sous_categorie.show               | App\Http\Controllers\Category\Sous_CategoryController@show                | api          |
